Prénom,Nom,Type d'organe,Cle,Bureau cle,orgismes de ratachement,Investissment,Fonction,Collège
Françoise,Bigotte,,Tech-albères,FALSE,CG66,0,Conseillère Régional,Collectivite Territoriales
Alexandre,Puignau,,Tech-albères,TRUE,SIGA Tech,1,Président,Collectivite Territoriales
Marcel,Descossy,,Tech-albères,TRUE,Syndicat Mixte du SCOT Littoral Sud,1,Représentant,Collectivite Territoriales
Pierre,Taurinya,,Tech-albères,FALSE,Syndicat Mixte du SCOT plaine du Roussillon,NA,Représentant,Collectivite Territoriales
Pierre,Aylagas,CLE,Tech-albères,FALSE,Comcom des Albères et de la côte vermeille,NA,Président,Collectivite Territoriales
Laurent,Bernardy,CLE,Tech-albères,FALSE,Comcom des Aspres,NA,Représentant,Collectivite Territoriales
Jacques,Arnaudies,CLE,Tech-albères,FALSE,Comcom du vallespir,NA,Représentant,Collectivite Territoriales
René,Bantoure,CLE,Tech-albères,FALSE,Comcom du haut vallespir,NA,Président,Collectivite Territoriales
Alphonse,Puig,CLE,Tech-albères,FALSE,Cle des nappes de la plaine du Roussillon,NA,Représentant,Collectivite Territoriales
Claude,Ferrer,CLE,Tech-albères,FALSE,Commune de Prats-De-Mollo-La-Preste,NA,Maire,Collectivite Territoriales
Agnès,Parayre,CLE,Tech-albères,TRUE,Commune de Lamanège,1,Maire,Collectivite Territoriales
Jean-François,Dunyach,CLE,Tech-albères,FALSE,Commune de Reynès,NA,Maire,Collectivite Territoriales
André,Bordaneil,CLE,Tech-albères,TRUE,Commune de Maureillas-Las-Illas,1,Maire,Collectivite Territoriales
Jean,Amouroux,CLE,Tech-albères,FALSE,Commune de Tresserre,NA,Maire,Collectivite Territoriales
Christian,Nifosi,CLE,Tech-albères,FALSE,Commune de Villelongue-Dels-Monts,NA,Maire,Collectivite Territoriales
Raymond,Lopez,CLE,Tech-albères,FALSE,Commune de Saint-Génis-Des-Fontaines,NA,Maire,Collectivite Territoriales
Patrick,Fouquet,CLE,Tech-albères,FALSE,Commune d'Elne,NA,Conseiller Municipal,Collectivite Territoriales
Raymond,Pla,CLE,Tech-albères,FALSE,Commune d'Ortaffa,NA,Maire,Collectivite Territoriales
Jean-Claude,Portella,CLE,Tech-albères,FALSE,Commune de Cerbère,NA,Maire,Collectivite Territoriales
Jean-Pierre,Bardas,CLE,Tech-albères,FASLE,Commune de le Perthus,NA,Conseiller Municipal,Collectivite Territoriales
René,Patau,CLE,Tech-albères,TRUE,Fédération Départementale pour la Pêche et la Protection des Milieux Aquatiques,1,NA,Usagers
Olivier,Baudier,CLE,Tech-albères,TRUE,Fédération Départementale pour la Pêche et la Protection des Milieux Aquatiques,1,NA,Usagers
Mr,Cuenet,CLE,Tech-albères,TRUE,Consomateurs – Que choisir,1,NA,Usagers
Alexandre,Arnaudies,CLE,Tech-albères,TRUE,Chambre d'agriculture des PO,1,Elu,Usagers
Claude,Jorda,CLE,Tech-albères,TRUE,Chambre d'agriculture des PO,1,Elu,Usagers
Jean,Bertrand,CLE,Tech-albères,TRUE,Chambre d'agriculture des PO,1,Technicien,Usagers
Mme,Villaceca,CLE,Tech-albères,FALSE,ASA du canal de Céret,1,Elu,Usagers
Mr,Martinez,CLE,Tech-albères,FALSE,ASA du canal de Céret,1,Sectretaire,Usagers
Joseph,Trave,CLE,Tech-albères,FALSE,Comité de conservation de la nature des PO,1,Président,Usagers
Chantal,Graille,CLE,Tech-albères,TRUE,Agence de l'eau,1,Délégué Régional,Repréentants de l'etat
Pierre,Vionnet,CLE,Tech-albères,FALSE,"Agence Régional de l'Environnement, de l'Aménagement et du Logement du Languedoc Roussillon",1,Directeur,Repréentants de l'etat
,,CLE,Tech-albères,FALSE,Prefecture,1,Représentant,Repréentants de l'etat
Xavier,Aerts,CLE,Tech-albères,TRUE,DDTM,1,,Repréentants de l'etat
Agniès,Chabrianges,CLE,Tech-albères,TRUE,DDTM,1,,Repréentants de l'etat
,,CLE,Tech-albères,,Cohesion sociale des PO,0,NA,Repréentants de l'etat
,,CLE,Tech-albères,,ONF,0,NA,Repréentants de l'etat
,,CLE,Tech-albères,,ONEMA,1,NA,Repréentants de l'etat
Hermeline,Malherbe,Comité Rivière,Sègre,NA,CG66,,,Collectivite Territoriales
Emeric ,Charron,Comité Rivière,Sègre,NA,"CG66, Pôle Barrage-Hydraulique",,,Collectivite Territoriales
Damien,Alary,Comité Rivière,Sègre,NA,Conseil Régional Languedoc-Roussillon,,,Collectivite Territoriales
Frédérique,Cancel-Tonellot,Comité Rivière,Sègre,NA,Conseil Régional Languedoc-Roussillon,,,Collectivite Territoriales
Denis,Tubau,Comité Rivière,Sègre,NA,Commune de Angoustrine,,,Collectivite Territoriales
Jean-Pierre,Abel,Comité Rivière,Sègre,NA,Commune de Bolquère,,,Collectivite Territoriales
Sandrine,Laurent,Comité Rivière,Sègre,NA,Commune de Bourg-Madame,,,Collectivite Territoriales
Edith,Gomez,Comité Rivière,Sègre,NA,Commune de Dorres,,,Collectivite Territoriales
Claude ,Grau,Comité Rivière,Sègre,NA,Commune de Egat,,,Collectivite Territoriales
Jérôme,Brevi,Comité Rivière,Sègre,NA,Commune de Enveitg,,,Collectivite Territoriales
André,Colomer,Comité Rivière,Sègre,NA,Commune de Err,,,Collectivite Territoriales
Bruno,Cagny,Comité Rivière,Sègre,NA,Commune de Estavar,,,Collectivite Territoriales
Alain,Bousquet,Comité Rivière,Sègre,NA,Commune de Eyne,,,Collectivite Territoriales
Bruno,Robert,Comité Rivière,Sègre,NA,Commune de Font-Romeu,,,Collectivite Territoriales
Augustin ,Carrera,Comité Rivière,Sègre,NA,Commune de Latour de Carol,,,Collectivite Territoriales
Robert,Autones,Comité Rivière,Sègre,NA,Commune de Llo,,,Collectivite Territoriales
Louis,Ferras,Comité Rivière,Sègre,NA,Commune de Nahuja,,,Collectivite Territoriales
Roger,Ciurana,Comité Rivière,Sègre,NA,Commune de Osséja,,,Collectivite Territoriales
Michel,Bauloz,Comité Rivière,Sègre,NA,Commune de Palau de Cerdagne,,,Collectivite Territoriales
Claude ,Jailliard,Comité Rivière,Sègre,NA,Commune de Porta,,,Collectivite Territoriales
Jean,Ribot,Comité Rivière,Sègre,NA,Commune de Porté-Puymorens,,,Collectivite Territoriales
